gene_name,bucket,shortlist_rank,direction_verdict,direction_basis,is_known_drug,supported,lof_tolerant,tractable,ot_genetic_max,ot_genetic_n_diseases,loeuf,prec,recessive_intolerant,il2_hit,efficacy,tolerance_loss,window_rank,n_module_down,is_iei,max_nonimmune_ntpm,viability_tier
TFB1M,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.1,0.88706,False,False,0.4846866892144406,-0.1933092699473931,126,6,False,9.4,non-depleting
FAM98B,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.283,0.61093,False,False,0.6448481430123123,0.1605055819264939,131,7,False,18.3,non-depleting
UNC45A,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.885,0.99566,True,False,0.7768391298860517,0.2954629204842288,135,4,False,50.4,depleting-at-rest
TMEM126B,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.826,0.26585,False,False,0.6241367655302043,0.1498524413866534,140,8,False,29.1,non-depleting
NCAPG2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.442,0.00011905,False,False,0.4693060041070219,-0.5685576986983012,141,5,False,13.9,non-depleting
CARS2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.226,0.471,False,False,0.4899731950287116,0.0351061776297158,165,3,False,42.9,non-depleting
SRR,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.865,0.98457,True,False,0.6010807749886397,0.1458589488929804,169,4,False,15.3,non-depleting
TWNK,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.76,0.99923,True,False,0.809827783713128,0.3547929501234242,173,7,False,11.8,non-depleting
SMG1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.1,1.5885000000000002e-54,False,False,0.743450442521786,0.2912790662310737,176,6,False,49.8,non-depleting
VARS2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.806,0.99994,True,False,0.6769658814368306,0.2328866814963918,182,10,False,32.5,non-depleting
GAS2L1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,,,,False,0.4355057010786759,-0.0256502614989786,185,3,False,55.4,non-depleting
ACAD9,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.885,0.99327,True,False,0.4274250236416114,-0.1467751145082385,193,3,False,38.3,non-depleting
MIPEP,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.182,0.36262,False,False,0.4186869498104165,-0.0668600828660967,204,5,False,23.8,non-depleting
GAB2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.559,0.32783,False,False,0.5885894541055947,0.1657057730904498,206,3,False,54.0,non-depleting
QRSL1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.107,0.68607,False,False,0.5781951281992292,0.1603817210307852,225,7,False,19.9,non-depleting
TADA1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.81,0.99403,True,False,0.7957724112018748,0.3761383588759584,232,13,False,25.0,non-depleting
GDAP2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.545,0.79098,False,False,0.4468187486028787,0.0435565681368533,247,5,False,4.8,depleting-at-rest
VBP1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,,,,False,0.9832245087412388,0.5654438055594212,252,4,False,113.1,non-depleting
EHMT2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,,,,False,0.3939713301125297,-0.0062645031246428,269,8,False,27.4,non-depleting
KMT2E,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0316148286248819,0.0,0.217,2.0402000000000002e-19,False,False,0.3864480798741095,-0.2486991092583614,281,3,False,19.1,depleting-at-rest
HEXIM1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.148,7.9888e-07,False,False,0.3727993215352405,-0.0460602525657764,315,6,False,31.1,non-depleting
WDR82,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.439,0.0034575,False,False,0.9107881649254196,0.5263902576873407,323,12,False,62.6,non-depleting
EIF4E2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.727,0.91512,True,False,0.36847094002754,-0.1879125555039912,324,3,False,144.8,non-depleting
COMMD4,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.983,0.95435,True,False,0.5013042441232849,0.1317222991616796,332,3,False,95.9,non-depleting
PSIP1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.397,0.00023385,False,False,0.3653955577625396,-0.1804392854731733,334,3,False,143.4,non-depleting
TFAM,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.743,0.90668,True,False,0.4108252311663819,0.0446941183127411,337,6,False,30.8,non-depleting
RRAGC,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.546,0.058625,False,False,0.3630487258913969,-0.1203743117830195,346,3,False,34.7,non-depleting
CTDSPL2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.184,0.00061148,False,False,0.4276952322287914,0.0644420751239782,353,3,False,19.6,non-depleting
ECSIT,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,1.034,0.91722,True,False,0.6183553898265906,0.2507267850331212,357,6,False,115.5,non-depleting
ZC3H10,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.779,0.94028,True,False,0.4089247960683777,0.0526558622152126,373,3,False,8.1,non-depleting
DPH5,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0698343703708299,0.0,1.296,0.73713,False,False,0.4278112066279789,0.0711930836197149,374,4,False,32.5,non-depleting
COQ3,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,1.046,0.92908,True,False,0.7310740551673585,0.3673570017824356,383,3,False,47.7,depleting-at-rest
WDR59,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0683346139464442,0.0,0.905,0.99215,True,False,0.3999930388898549,0.0477831465440839,389,4,False,35.1,depleting-at-rest
BTAF1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.213,3.7977e-27,False,False,0.6493184486669363,0.2920785909246912,393,10,False,39.9,non-depleting
TMED9,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,1.055,0.91812,True,False,0.3442044356997292,-0.0809795381375061,414,3,False,96.0,depleting-at-rest
SLC25A28,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.576,0.14999,False,False,0.3373083763613352,-0.0946297182065482,442,3,False,96.1,non-depleting
MED15,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.446,0.00018534,False,False,0.639293086760682,0.2964233421440313,452,5,False,52.1,non-depleting
KMT5B,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.19,1.2093e-12,False,False,0.574022345939308,0.2332305889744807,454,4,False,27.2,non-depleting
CENPE,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.452,0.00045974,False,False,0.8909321898783461,0.5453431816948261,471,3,False,3.9,unknown
ATP5MF,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.223,0.87376,False,False,0.4577541006256009,0.1408448466751346,517,3,False,1342.9,depleting-at-rest
PDSS2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.819,0.98482,True,False,0.3094702375105285,-0.0137226215629935,531,6,False,25.3,depleting-at-rest
COMMD5,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.753,0.49791,False,False,0.7424192892424835,0.4225963701655502,547,4,False,21.9,depleting-at-rest
CREBBP,GATE_ONLY,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,False,False,True,0.0742722696150896,0.0,0.101,2.6588999999999997e-46,False,False,0.6597557267738134,0.3447107213002263,562,13,False,31.1,non-depleting
STRAP,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.568,0.15744,False,False,0.3785867608597315,0.080870624262119,613,4,False,127.9,depleting-at-rest
PPP1R15B,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0384679587036271,0.0,0.736,0.99934,True,False,0.653762689440432,0.3571610069788956,653,4,False,48.1,depleting-at-rest
ATP5F1A,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0334626144332919,0.0,0.577,0.71943,False,False,0.3912840775006189,0.1087624078876613,690,5,False,1644.4,non-depleting
CLPB,GATE_ONLY,,CONCORDANT,LoF causes immunodeficiency (IUIS); positive-regulator direction,False,False,False,False,0.0,,0.643,0.99963,True,False,0.3937106770460223,0.1122750190975579,698,6,True,120.0,depleting-at-rest
SEC14L2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.068,0.79223,False,False,0.5793035876101238,0.2975275033838349,721,3,False,227.8,non-depleting
MTHFD1L,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.856,0.99781,True,False,0.2812542500908921,0.0114570492159251,735,5,False,60.3,non-depleting
FBXO32,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.54,0.07908,False,False,0.2651664694486477,-0.4818827494250591,747,3,False,604.9,non-depleting
MCM8,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.971,0.94715,True,False,0.2650809990982312,-0.1206477855301533,748,3,False,12.5,non-depleting
ZNF710,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.395,7.6135e-05,False,False,0.790215050197582,0.5113227560654906,757,3,False,41.7,depleting-at-rest
MLST8,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.68,0.97887,True,False,0.2776423059204149,0.0142524917115327,764,5,False,49.4,non-depleting
MTCH2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.752,0.99228,True,False,0.3438626284430987,0.0857876545177116,807,3,False,108.0,non-depleting
PDCL,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.652,0.56001,False,False,0.5156141692148593,0.2629344098691497,875,9,False,13.1,non-depleting
NDUFS8,GATE_ONLY,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,False,False,True,0.0,,0.776,0.95672,True,False,0.243358012019765,-0.4872205466662404,899,4,False,468.4,depleting-at-rest
CLCC1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.778,0.99767,True,False,0.2400525659203517,-0.4254532499640903,922,4,False,23.5,non-depleting
RBM33,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.326,1.3804e-10,False,False,0.7551330711918057,0.5033445055109138,945,7,False,41.3,non-depleting
AP2A1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.331,8.796e-09,False,False,0.5241365441333984,0.2925250929054676,1047,3,False,85.4,depleting-at-rest
PTBP1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.249,1.0438e-08,False,False,0.7664560803737297,0.5308851586502666,1074,4,False,123.5,depleting-at-rest
DOP1B,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.831,0.99996,True,False,0.2235272833128403,0.0119846220426008,1147,4,False,24.1,non-depleting
NDUFAF3,GATE_ONLY,,CONCORDANT,approved LoF-mimicking drug (OT actionType),False,False,True,True,0.0,,1.221,0.77343,False,False,0.2906646929728305,0.0816434633516757,1182,4,False,315.3,non-depleting
TIPARP,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0330342207222303,0.0,0.346,3.2813e-06,False,False,0.4935466099585266,0.2798481546281109,1192,3,False,93.3,depleting-at-rest
MOV10,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.435,6.2956e-05,False,False,0.2036334439986296,-0.0341633574172731,1206,4,False,28.6,non-depleting
PGAP2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0320474576429373,0.0,0.872,0.98524,True,False,0.6838018587332377,0.4706050755141704,1247,5,False,204.2,depleting-at-rest
MTG1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.086,0.87301,False,False,0.3736647899305709,0.1718233336716928,1269,4,False,48.4,non-depleting
HMGXB3,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.467,0.0030124,False,False,0.6806221130615404,0.4704878930092226,1276,3,False,110.1,depleting-at-rest
EIF4A1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.337,2.9223e-06,False,False,0.2540898346671146,0.0588516915875683,1310,4,False,531.9,depleting-at-rest
GPI,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.862,0.99503,True,False,0.3539725557949627,0.1565171843289839,1318,7,False,391.0,non-depleting
ZCCHC8,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.71,0.99853,True,False,0.4363342239818501,0.2453165141571454,1406,3,False,11.6,non-depleting
TIMM8B,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0347966296305316,0.0,1.551,0.80119,False,False,0.6086517400051524,0.4236440939208927,1517,6,False,137.3,depleting-at-rest
LAMTOR4,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0318021202905042,0.0,1.738,0.61003,False,False,0.4445376115752325,0.278052098791097,1641,5,False,469.5,non-depleting
INTS14,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.621,0.8951,False,False,0.211665237275465,0.06134993841346,1743,3,False,27.8,depleting-at-rest
YEATS2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.552,0.99973,True,False,0.5271005910311727,0.3741271469425459,1818,4,False,14.5,depleting-at-rest
RIDA,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.444,0.81759,False,False,0.133234204732118,-0.0001238443891232,1915,3,False,1435.3,depleting-at-rest
SARS2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.021,0.88144,False,False,0.3044208228407633,0.1686303431888271,1941,3,False,18.3,non-depleting
XBP1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,,,,False,0.478953433554298,0.3397637099986376,1957,5,False,1102.3,non-depleting
STK11,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.364,9.4e-05,False,False,0.6392022615915662,0.4957059720347738,1960,4,False,106.4,depleting-at-rest
WARS2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,True,0.0,,1.099,0.86315,False,False,0.3770752897856053,0.2422187637255095,1976,3,False,9.6,non-depleting
PTCD2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,0.798,0.64383,False,False,0.5203260056347558,0.3842541700601387,2009,4,False,12.9,depleting-at-rest
ERCC1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.307,0.37256,False,False,0.382153649248793,0.250960892830967,2019,4,False,103.2,non-depleting
UTP23,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.885,0.96248,True,False,0.6916071989677772,0.5615899943804402,2137,4,False,11.3,depleting-at-rest
TESK2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.865,0.9934,True,False,0.5852000379389829,0.4648652131858053,2211,4,False,14.5,non-depleting
TAF13,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,True,False,0.0,,1.031,0.71883,False,True,0.41718200041364,0.3016910004932966,2212,4,False,89.9,non-depleting
CCNQ,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,,,,False,0.5869982097106979,0.4692904806852359,2245,3,False,34.8,depleting-at-rest
MTHFD2,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,False,0.0,,0.985,0.95411,True,False,0.54393948217022,0.4344062840976676,2335,3,False,111.2,non-depleting
TSC1,GATE_ONLY,,UNKNOWN,"no direction signal on disk (needs eQTL-coloc, N12)",False,False,False,True,0.0,,0.227,1.5807e-17,False,False,0.3986488484926823,0.3064157344920553,2508,7,False,21.3,non-depleting
